frame,coverage_ratio
0,nan
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.000552836
16,0.00781868
17,0.040515
18,0.145317
19,0.258253
20,0.309035
21,0.361397
22,0.445822
23,0.585453
24,0.704944
25,0.822462
26,0.950088
27,1.07582
28,1.23298
29,1.39709
30,1.58079
31,1.77989
32,1.94993
33,2.14398
34,2.22564
35,2.2874
36,2.36282
37,2.44251
38,2.50869
39,2.54881
40,2.5864
41,2.61531
42,2.64887
43,2.70013
44,2.76726
45,2.83162
46,2.91613
47,2.98713
48,3.05687
49,3.12226
50,3.12289
51,3.12289
52,3.12289
53,3.12289
54,3.12289
55,3.12289
56,3.12289
57,3.12289
58,3.12289
59,3.12289
60,3.12289
61,3.12289
62,3.12289
63,3.12289
64,3.12289
65,3.14721
66,3.1619
67,3.16506
68,3.18078
69,3.31591
70,3.41321
71,3.44646
72,3.50292
73,3.54368
74,3.61499
75,3.69847
76,3.80762
77,3.95514
78,4.16522
79,4.34868
80,4.55165
81,4.71782
82,4.88415
83,5.03144
84,5.16135
85,5.2547
86,5.33289
87,5.3862
88,5.44748
89,5.50972
90,5.56484
91,5.61942
92,5.6781
93,5.74744
94,5.85729
95,5.99803
96,6.08427
97,6.09407
98,6.11231
99,6.11349
100,6.11894
101,6.1484
102,6.22943
103,6.3659
104,6.52133
105,6.7303
106,6.9895
107,7.21814
108,7.43161
109,7.58483
110,7.74286
111,7.80786
112,7.80786
113,7.80896
114,7.81038
115,7.81038
116,7.81038
117,7.81038
118,7.81038
119,7.81078
120,7.82255
121,7.93224
122,7.96944
123,8.02101
124,8.12921
125,8.27761
126,8.46012
127,8.65488
128,8.85019
129,9.0748
130,9.29135
131,9.53436
132,9.73204
133,9.93612
134,10.1831
135,10.4627
136,10.7262
137,10.8826
138,11.001
139,11.1009
140,11.2271
141,11.3723
142,11.5253
143,11.623
144,11.6954
145,11.7586
146,11.7886
147,11.8595
148,11.9628
149,12.0859
150,12.2185
151,12.3736
152,12.5101
153,12.643
154,12.7411
155,12.8364
156,12.8364
157,12.8364
158,12.8364
159,12.8423
